--------- beginning of main
09-01 20:23:11.559 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=5135 | posDelta=-3496 | buffered=6720 | bufferDelta=-8320 | totalBuf=1584 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=4 | frameDelta=-22
09-01 20:23:12.560 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=6067 | posDelta=932 | buffered=11560 | bufferDelta=4840 | totalBuf=5492 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=27 | frameDelta=23
09-01 20:23:13.562 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=7063 | posDelta=996 | buffered=15040 | bufferDelta=3480 | totalBuf=7976 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=52 | frameDelta=25
09-01 20:23:14.563 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=8059 | posDelta=996 | buffered=15040 | bufferDelta=0 | totalBuf=6980 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=77 | frameDelta=25
09-01 20:23:15.564 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=9067 | posDelta=1008 | buffered=15040 | bufferDelta=0 | totalBuf=5972 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=102 | frameDelta=25
09-01 20:23:16.566 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=5069 | posDelta=-3998 | buffered=10040 | bufferDelta=-5000 | totalBuf=4970 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=127 | frameDelta=25
09-01 20:23:17.567 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=6065 | posDelta=996 | buffered=10040 | bufferDelta=0 | totalBuf=3974 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=152 | frameDelta=25
09-01 20:23:18.574 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=7065 | posDelta=1000 | buffered=14080 | bufferDelta=4040 | totalBuf=7164 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=177 | frameDelta=25
09-01 20:23:19.576 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=8073 | posDelta=1008 | buffered=14400 | bufferDelta=320 | totalBuf=6326 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=202 | frameDelta=25
09-01 20:23:20.578 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=9077 | posDelta=1004 | buffered=15040 | bufferDelta=640 | totalBuf=5962 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=227 | frameDelta=25
09-01 20:23:21.578 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=5078 | posDelta=-3999 | buffered=14080 | bufferDelta=-960 | totalBuf=9001 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=252 | frameDelta=25
09-01 20:23:22.579 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=6079 | posDelta=1001 | buffered=14560 | bufferDelta=480 | totalBuf=8480 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=277 | frameDelta=25
09-01 20:23:23.580 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=7082 | posDelta=1003 | buffered=15040 | bufferDelta=480 | totalBuf=7957 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=303 | frameDelta=26
09-01 20:23:24.581 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=8079 | posDelta=997 | buffered=15040 | bufferDelta=0 | totalBuf=6960 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=327 | frameDelta=24
09-01 20:23:25.583 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=9082 | posDelta=1003 | buffered=15040 | bufferDelta=0 | totalBuf=5957 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=352 | frameDelta=25
09-01 20:23:26.585 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=-4911 | posDelta=-13993 | buffered=40 | bufferDelta=-15000 | totalBuf=4951 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=377 | frameDelta=25
09-01 20:23:27.586 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=-3915 | posDelta=0 | buffered=40 | bufferDelta=0 | totalBuf=3955 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=403 | frameDelta=26
09-01 20:23:28.587 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=-2910 | posDelta=0 | buffered=2240 | bufferDelta=2200 | totalBuf=5150 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=428 | frameDelta=25
09-01 20:23:29.589 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=-1908 | posDelta=0 | buffered=4080 | bufferDelta=1840 | totalBuf=5988 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=453 | frameDelta=25
09-01 20:23:30.590 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=-910 | posDelta=0 | buffered=5440 | bufferDelta=1360 | totalBuf=6350 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=477 | frameDelta=24
09-01 20:23:31.591 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=89 | posDelta=0 | buffered=7040 | bufferDelta=1600 | totalBuf=6950 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=503 | frameDelta=26
09-01 20:23:32.592 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=1091 | posDelta=1002 | buffered=9720 | bufferDelta=2680 | totalBuf=8628 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=528 | frameDelta=25
09-01 20:23:33.592 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=2089 | posDelta=998 | buffered=10040 | bufferDelta=320 | totalBuf=7950 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=552 | frameDelta=24
09-01 20:23:34.594 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=3098 | posDelta=1009 | buffered=10040 | bufferDelta=0 | totalBuf=6941 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=578 | frameDelta=26
09-01 20:23:35.595 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=4098 | posDelta=1000 | buffered=10040 | bufferDelta=0 | totalBuf=5941 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=603 | frameDelta=25
09-01 20:23:36.596 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=94 | posDelta=-4004 | buffered=5040 | bufferDelta=-5000 | totalBuf=4945 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=628 | frameDelta=25
